y,x_countMS,x_numMS,x_cumDurMS,x_medDurMS,x_meanDurMS,x_interDurMeanMS,x_interDurMedianMS,x_cumProbMS,x_probEntropyMS,id,train,model
2400,0,0,0,0,0,0,0,0.0313857350612747,25.0941290413159,SOZ3,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0362285298731951,34.3065363602903,UsSz,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0678277069150663,83.8449761644607,UwK6,1,patU-Sleep
787,0,0,0,0,0,0,0,0.0961777935029256,44.7683090152417,X7s0,1,patU-Sleep
984,0,0,0,0,0,0,0,0.0832171435963347,45.8372736012304,Y4FK,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.013470912568786,6.55303140400557,YHLr,1,patU-Sleep
2400,23,0.575,88,4,3.82608695652174,16.4090909090909,9.5,0.245320220114771,395.350428175158,YOh8,1,patU-Sleep
1373,0,0,0,0,0,0,0,0.0606158906117544,39.5714053291304,ZYFG,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.108345446353234,161.439107107504,Zpwh,1,patU-Sleep
858,0,0,0,0,0,0,0,0.0112904364879623,2.32161714369683,bkx9,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0325919464825388,31.2300441529296,cblr,1,patU-Sleep
2400,66,1.65,382,4.5,5.78787878787879,30.3692307692308,13,0.27149603611273,445.519178068213,d3ET,1,patU-Sleep
2400,1,0.025,3,3,3,0,0,0.0944003948068975,121.439175060879,ddTG,1,patU-Sleep
2400,60,1.5,365,5,6.08333333333333,34.5423728813559,8,0.268665370594128,436.7038685716,f8H5,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0334389700314583,29.1691485673454,fNe4,1,patU-Sleep
1359,0,0,0,0,0,0,0,0.126948130832801,99.876169472811,fT68,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0782852854393058,92.989371720586,go56,1,patU-Sleep
1160,0,0,0,0,0,0,0,0.0099375226902819,2.31178788534684,hT38,1,patU-Sleep
1539,0,0,0,0,0,0,0,0.0392215856793158,22.9026541877212,iSqw,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0220593678420733,17.4063734482012,ipxV,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0114542290292471,6.0435868514758,muls,1,patU-Sleep
379,0,0,0,0,0,0,0,0.0108688665563071,1.3065833530292,oOMR,1,patU-Sleep
2400,15,0.375,57,3,3.8,120.642857142857,25.5,0.201227350506773,321.754934345709,pPpj,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0198319365426953,13.7509028718123,puoa,1,patU-Sleep
1426,0,0,0,0,0,0,0,0.0774023702187594,58.592193559872,sNMf,1,patU-Sleep
165,0,0,0,0,0,0,0,0.172405638844426,17.8822145739162,svlu,1,patU-Sleep
2400,10,0.25,43,4,4.3,228.444444444444,108,0.141040592413521,206.207853256279,uXdB,1,patU-Sleep
1053,1,0.056980056980057,3,3,3,0,0,0.157223061928632,111.93948226777,y5We,1,patU-Sleep
609,0,0,0,0,0,0,0,0.0103431468772813,1.32038405944753,zaca,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0126311747811761,6.74385843604257,0pai,0,mU-SSL
943,2,0.127253446447508,6,3,3,366,366,0.122185611379171,69.9355751596218,3P0D,0,mU-SSL
2400,12,0.3,85,6,7.08333333333333,71.6363636363636,56,0.148861619572942,211.571451777087,40kO,0,mU-SSL
2400,1,0.025,15,15,15,0,0,0.051261004045637,58.0440933066888,6JVj,0,mU-SSL
901,3,0.199778024417314,13,4,4.33333333333333,222.5,222.5,0.146303970308382,79.9118123170754,6iwd,0,mU-SSL
590,4,0.406779661016949,19,3.5,4.75,53.6666666666667,18,0.0804078369248166,26.3431495148956,BSvO,0,mU-SSL
2400,19,0.475,104,4,5.47368421052632,100.5,38.5,0.191826160592076,274.177963013566,DSfb,0,mU-SSL
2400,25,0.625,152,5,6.08,79.875,49.5,0.20294302490491,300.426843687171,EyTS,0,mU-SSL
396,3,0.454545454545455,24,6,8,28.5,28.5,0.193750563440648,48.4434548867562,IhpU,0,mU-SSL
2400,3,0.075,16,5,5.33333333333333,105.5,105.5,0.023396848450049,23.9168424955492,Kn9O,0,mU-SSL
388,0,0,0,0,0,0,0,0.0213672847614424,2.63378319590039,N1nM,0,mU-SSL
1228,7,0.342019543973941,56,9,8,31.5,30.5,0.150561537916806,94.6895269896163,Otq3,0,mU-SSL
2400,1,0.025,3,3,3,0,0,0.064989926164124,81.9800494889359,R2f3,0,mU-SSL
435,0,0,0,0,0,0,0,0.0743734628211652,16.3909599861263,Xg1l,0,mU-SSL
2400,0,0,0,0,0,0,0,0.0203776298383286,21.5075321708792,Xii6,0,mU-SSL
1734,19,0.657439446366782,141,6,7.42105263157895,40.2222222222222,16.5,0.194319258962404,180.616342880598,csxQ,0,mU-SSL
2400,0,0,0,0,0,0,0,0.0163922609548493,14.8498758666054,hRMy,0,mU-SSL
2400,0,0,0,0,0,0,0,0.0137162920256869,10.2268403446544,hcml,0,mU-SSL
1323,14,0.634920634920635,113,8,8.07142857142857,70.3076923076923,77,0.500757559405645,248.428163279812,ibbz,0,mU-SSL
2400,32,0.8,238,6,7.4375,65.6451612903226,57,0.435632285297493,559.343214729733,kj2l,0,mU-SSL
2400,0,0,0,0,0,0,0,0.0408968077534594,36.3100678896936,mBks,0,mU-SSL
2400,0,0,0,0,0,0,0,0.0100415452635279,9.60687976880514,mZje,0,mU-SSL
728,4,0.32967032967033,16,3.5,4,153,58,0.0405827160866251,15.1191690233161,tG6i,0,mU-SSL
2400,0,0,0,0,0,0,0,0.0424610992944502,43.8508927177748,0ncr,1,mU-SSL
2400,12,0.3,61,3.5,5.08333333333333,156.727272727273,129,0.12339039701474,170.647232322103,3J4W,1,mU-SSL
449,3,0.400890868596882,23,8,7.66666666666667,42,42,0.107441221145594,27.7186972122621,5bSg,1,mU-SSL
2400,1,0.025,3,3,3,0,0,0.0915242413059609,117.418789754896,9098,1,mU-SSL
639,5,0.469483568075117,33,6,6.6,57.25,56.5,0.197548459808962,77.8538251563472,9JQY,1,mU-SSL
2400,3,0.075,16,4,5.33333333333333,575.5,575.5,0.05114427081502,66.9164285394849,AXbm,1,mU-SSL
2400,1,0.025,5,5,5,0,0,0.0903653186476092,114.838624725193,Af8a,1,mU-SSL
2400,1,0.025,9,9,9,0,0,0.0492659384954788,53.5004781125848,AsLD,1,mU-SSL
474,0,0,0,0,0,0,0,0.0546229640141971,12.4060123829566,C1Wu,1,mU-SSL
1863,20,0.644122383252818,116,4,5.8,60.6315789473684,39,0.254285206277551,289.272118596898,DYYI,1,mU-SSL
460,2,0.260869565217391,10,5,5,207,207,0.117940976781412,31.8093357831426,DjrT,1,mU-SSL
2161,2,0.0555298472929199,16,8,8,90,90,0.109513135197391,130.95674213934,Dr51,1,mU-SSL
2400,32,0.8,189,5,5.90625,53.258064516129,26,0.247420146872108,378.700438891266,EHED,1,mU-SSL
1018,2,0.117878192534381,6,3,3,199,199,0.173157970509615,111.478349132236,EMcQ,1,mU-SSL
1510,6,0.23841059602649,25,4,4.16666666666667,261,80,0.157871694634871,145.491324599602,G7PJ,1,mU-SSL
681,8,0.704845814977974,40,3,5,46.4285714285714,50,0.2364861999297,98.1137041909303,Ivfn,1,mU-SSL
612,6,0.588235294117647,42,6,7,45,20,0.221196864725308,81.6234375772818,JCpz,1,mU-SSL
2400,5,0.125,29,4,5.8,484.25,232.5,0.101547968908141,133.249051230654,LR2s,1,mU-SSL
2400,0,0,0,0,0,0,0,0.0264826729641954,30.0974762506195,MS6u,1,mU-SSL
155,2,0.774193548387097,8,4,4,25,25,0.443601942988693,33.2513224018964,Msy4,1,mU-SSL
969,4,0.247678018575851,16,3.5,4,74,75,0.106201127029891,57.4177829383282,Nzhl,1,mU-SSL
1628,5,0.184275184275184,27,5,5.4,328.75,122.5,0.10029063800868,88.6179934452645,QDsa,1,mU-SSL
2400,3,0.075,18,4,6,367,367,0.0870771001547455,113.086022497448,RM1S,1,mU-SSL
14,0,0,0,0,0,0,0,0.292754967188625,2.6506819361518,RfL0,1,mU-SSL
2400,1,0.025,3,3,3,0,0,0.0943267994750478,121.222929153199,SOZ3,1,mU-SSL
2400,0,0,0,0,0,0,0,0.0151719310622233,12.3780584836231,UsSz,1,mU-SSL
2400,0,0,0,0,0,0,0,0.0565093637955753,59.1388638951097,UwK6,1,mU-SSL
787,9,0.686149936467598,53,4,5.88888888888889,56.125,38.5,0.395252748521221,170.765014578335,X7s0,1,mU-SSL
984,2,0.121951219512195,8,4,4,11,11,0.0888863059391799,44.9129668719231,Y4FK,1,mU-SSL
2400,0,0,0,0,0,0,0,0.0215875160687423,18.3689719252319,YHLr,1,mU-SSL
2400,0,0,0,0,0,0,0,0.0788090464151909,102.13772258581,YOh8,1,mU-SSL
1373,9,0.393299344501092,44,5,4.88888888888889,117.125,67,0.138321323787079,114.101257357977,ZYFG,1,mU-SSL
2400,38,0.95,216,5,5.68421052631579,56.3513513513514,39,0.295754571556245,463.597100848173,Zpwh,1,mU-SSL
858,2,0.13986013986014,21,10.5,10.5,8,8,0.0833916084778677,39.1883828926191,bkx9,1,mU-SSL
2400,1,0.025,3,3,3,0,0,0.101399845423075,136.094666346035,cblr,1,mU-SSL
2400,14,0.35,80,4.5,5.71428571428571,161.923076923077,98,0.200144450655333,292.234909233229,d3ET,1,mU-SSL
2400,16,0.4,104,5,6.5,141.333333333333,61,0.13087346024637,184.669268391186,ddTG,1,mU-SSL
2400,68,1.7,416,5,6.11764705882353,28.8358208955224,16,0.385646340405431,584.397000671499,f8H5,1,mU-SSL
2400,2,0.05,7,3.5,3.5,451,451,0.127052935435696,177.014328137749,fNe4,1,mU-SSL
1359,23,1.01545253863135,116,4,5.04347826086957,36,10,0.310641169045669,269.69751162979,fT68,1,mU-SSL
2400,26,0.65,153,5,5.88461538461539,73.12,49,0.208785602188344,309.742300982625,go56,1,mU-SSL
1160,3,0.155172413793103,13,4,4.33333333333333,22,22,0.0487716749570495,31.404473487598,hT38,1,mU-SSL
1539,13,0.50682261208577,81,6,6.23076923076923,102,77,0.147056694647823,130.906250628439,iSqw,1,mU-SSL
2400,0,0,0,0,0,0,0,0.00350207069884865,1.38111515720699,ipxV,1,mU-SSL
2400,0,0,0,0,0,0,0,0.0142465918237831,12.3328481138615,muls,1,mU-SSL
379,4,0.633245382585752,24,6,6,17.3333333333333,15,0.190587522983603,45.5564666410027,oOMR,1,mU-SSL
2400,9,0.225,66,6,7.33333333333333,116.375,25,0.167391341986269,246.500401849242,pPpj,1,mU-SSL
2400,8,0.2,60,6.5,7.5,146.285714285714,88,0.107043661852293,140.064615686139,puoa,1,mU-SSL
1426,17,0.715287517531557,82,3,4.82352941176471,54.1875,26,0.251228074655984,213.257188682822,sNMf,1,mU-SSL
165,4,1.45454545454545,26,6.5,6.5,9.33333333333333,13,0.23537867777314,24.6664892036794,svlu,1,mU-SSL
2400,60,1.5,434,6,7.23333333333333,33.5932203389831,24,0.411496516670599,544.949473857124,uXdB,1,mU-SSL
1053,7,0.398860398860399,47,8,6.71428571428571,96.3333333333333,73.5,0.21249561960761,144.803045140125,y5We,1,mU-SSL
609,3,0.295566502463054,15,6,5,65.5,65.5,0.0355723500518203,9.27665858008426,zaca,1,mU-SSL
2400,0,0,0,0,0,0,0,0.00717830135643453,2.17511564974947,0pai,0,FB-LSTM
943,17,1.08165429480382,149,9,8.76470588235294,45.6875,33,0.201446350831301,79.7935815189743,3P0D,0,FB-LSTM
2400,0,0,0,0,0,0,0,0.00996239480739556,8.21143887009691,40kO,0,FB-LSTM
